Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,customer_id,timestamp
330,75,male,3,free,little,little,6615,24,car,331,2025-09-01 15:34:04.913123
331,30,female,2,own,moderate,,1864,18,education,332,2025-09-01 15:34:04.913123
332,24,female,3,own,moderate,moderate,7408,60,car,333,2025-09-01 15:34:04.913123
333,24,female,1,rent,moderate,,11590,48,car,334,2025-09-01 15:34:04.913123
334,23,male,2,rent,little,little,4110,24,furniture/equipment,335,2025-09-01 15:34:04.913123
335,44,male,3,rent,little,little,3384,6,furniture/equipment,336,2025-09-01 15:34:04.913123
336,23,female,1,own,little,moderate,2101,13,radio/TV,337,2025-09-01 15:34:04.913123
337,24,female,2,rent,,little,1275,15,domestic appliances,338,2025-09-01 15:34:04.913123
338,28,male,2,own,little,little,4169,24,furniture/equipment,339,2025-09-01 15:34:04.913123
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,340,2025-09-01 15:34:04.913123
340,24,female,2,free,little,moderate,5743,24,education,341,2025-09-01 15:34:04.913123
341,26,female,1,rent,little,little,3599,21,furniture/equipment,342,2025-09-01 15:34:04.913123
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,343,2025-09-01 15:34:04.913123
343,33,male,3,own,little,moderate,4439,18,business,344,2025-09-01 15:34:04.913123
344,37,male,1,own,little,rich,3949,10,car,345,2025-09-01 15:34:04.913123
345,43,female,1,own,little,,1459,15,radio/TV,346,2025-09-01 15:34:04.913123
346,23,male,2,own,little,moderate,882,13,radio/TV,347,2025-09-01 15:34:04.913123
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,348,2025-09-01 15:34:04.913123
348,34,male,1,own,moderate,,1743,6,business,349,2025-09-01 15:34:04.913123
349,32,male,2,free,rich,moderate,1136,9,education,350,2025-09-01 15:34:04.913123
350,23,female,2,rent,little,,1236,9,domestic appliances,351,2025-09-01 15:34:04.913123
351,29,female,2,own,little,moderate,959,9,furniture/equipment,352,2025-09-01 15:34:04.913123
352,38,male,3,own,,,3229,18,car,353,2025-09-01 15:34:04.913123
353,28,male,2,rent,little,little,6199,12,radio/TV,354,2025-09-01 15:34:04.913123
354,46,male,2,free,quite rich,,727,10,education,355,2025-09-01 15:34:04.913123
355,23,male,1,own,little,moderate,1246,24,car,356,2025-09-01 15:34:04.913123
356,49,male,2,own,,,2331,12,radio/TV,357,2025-09-01 15:34:04.913123
357,26,male,3,own,little,,4463,36,radio/TV,358,2025-09-01 15:34:04.913123
358,28,male,2,own,little,,776,12,radio/TV,359,2025-09-01 15:34:04.913123
359,23,female,2,rent,little,little,2406,30,furniture/equipment,360,2025-09-01 15:34:04.913123
360,61,male,2,free,,moderate,1239,18,education,361,2025-09-01 15:34:04.913123
361,37,male,3,own,,rich,3399,12,radio/TV,362,2025-09-01 15:34:04.913123
362,36,female,2,own,little,rich,2247,12,car,363,2025-09-01 15:34:04.913123
363,21,male,2,rent,little,,1766,6,furniture/equipment,364,2025-09-01 15:34:04.913123
364,25,male,0,own,little,little,2473,18,furniture/equipment,365,2025-09-01 15:34:04.913123
365,36,male,2,own,little,,1542,12,business,366,2025-09-01 15:34:04.913123
366,27,male,2,own,little,,3850,18,car,367,2025-09-01 15:34:04.913123
367,22,female,2,rent,little,little,3650,18,furniture/equipment,368,2025-09-01 15:34:04.913123
368,42,male,2,own,little,little,3446,36,furniture/equipment,369,2025-09-01 15:34:04.913123
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,370,2025-09-01 15:34:04.913123
370,36,male,2,own,,,3079,36,car,371,2025-09-01 15:34:04.913123
371,33,male,2,own,little,,6070,18,radio/TV,372,2025-09-01 15:34:04.913123
372,23,female,2,rent,little,,2146,10,furniture/equipment,373,2025-09-01 15:34:04.913123
373,63,male,3,free,,,13756,60,car,374,2025-09-01 15:34:04.913123
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,375,2025-09-01 15:34:04.913123
375,37,female,2,rent,little,little,7685,48,business,376,2025-09-01 15:34:04.913123
376,34,male,2,own,little,,2320,18,radio/TV,377,2025-09-01 15:34:04.913123
377,36,male,2,free,,,846,7,radio/TV,378,2025-09-01 15:34:04.913123
378,57,male,3,free,little,moderate,14318,36,car,379,2025-09-01 15:34:04.913123
379,52,female,1,own,moderate,,362,6,car,380,2025-09-01 15:34:04.913123
380,39,male,2,own,,little,2212,20,furniture/equipment,381,2025-09-01 15:34:04.913123
381,38,female,3,free,little,moderate,12976,18,car,382,2025-09-01 15:34:04.913123
382,25,female,2,rent,,,1283,22,car,383,2025-09-01 15:34:04.913123
383,26,male,2,own,little,rich,1330,12,car,384,2025-09-01 15:34:04.913123
384,26,male,1,own,moderate,,4272,30,business,385,2025-09-01 15:34:04.913123
385,25,female,2,own,little,,2238,18,radio/TV,386,2025-09-01 15:34:04.913123
386,21,female,2,rent,,,1126,18,radio/TV,387,2025-09-01 15:34:04.913123
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,388,2025-09-01 15:34:04.913123
388,27,male,2,own,quite rich,moderate,2326,15,business,389,2025-09-01 15:34:04.913123
389,27,female,2,own,little,,1449,9,business,390,2025-09-01 15:34:04.913123
390,30,male,3,own,little,,1820,18,car,391,2025-09-01 15:34:04.913123
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,392,2025-09-01 15:34:04.913123
392,39,male,3,free,little,little,3249,36,car,393,2025-09-01 15:34:04.913123
393,31,female,2,own,little,little,1957,6,radio/TV,394,2025-09-01 15:34:04.913123
394,31,male,3,own,little,,2406,9,furniture/equipment,395,2025-09-01 15:34:04.913123
395,32,male,2,rent,moderate,moderate,11760,39,education,396,2025-09-01 15:34:04.913123
396,55,female,3,free,little,little,2578,12,furniture/equipment,397,2025-09-01 15:34:04.913123
397,46,male,2,own,little,little,2348,36,furniture/equipment,398,2025-09-01 15:34:04.913123
398,46,male,2,rent,little,moderate,1223,12,car,399,2025-09-01 15:34:04.913123
399,43,female,1,own,rich,,1516,24,radio/TV,400,2025-09-01 15:34:04.913123
400,39,male,2,own,little,,1473,18,radio/TV,401,2025-09-01 15:34:04.913123
401,28,male,2,own,,moderate,1887,18,business,402,2025-09-01 15:34:04.913123
402,27,male,2,own,little,,8648,24,business,403,2025-09-01 15:34:04.913123
403,27,male,1,own,little,,802,14,car,404,2025-09-01 15:34:04.913123
404,43,male,2,own,,moderate,2899,18,car,405,2025-09-01 15:34:04.913123
405,22,male,2,own,little,moderate,2039,24,radio/TV,406,2025-09-01 15:34:04.913123
406,43,male,2,own,,,2197,24,car,407,2025-09-01 15:34:04.913123
407,27,male,2,own,little,little,1053,15,radio/TV,408,2025-09-01 15:34:04.913123
408,26,male,3,own,quite rich,,3235,24,radio/TV,409,2025-09-01 15:34:04.913123
409,28,male,2,own,quite rich,rich,939,12,car,410,2025-09-01 15:34:04.913123
410,20,female,2,own,little,moderate,1967,24,radio/TV,411,2025-09-01 15:34:04.913123
411,35,male,3,own,little,,7253,33,car,412,2025-09-01 15:34:04.913123
412,42,male,3,own,little,,2292,12,business,413,2025-09-01 15:34:04.913123
413,40,male,1,rent,quite rich,,1597,10,car,414,2025-09-01 15:34:04.913123
414,35,female,2,own,,little,1381,24,car,415,2025-09-01 15:34:04.913123
415,35,male,2,own,little,,5842,36,car,416,2025-09-01 15:34:04.913123
416,33,male,1,own,little,little,2579,12,car,417,2025-09-01 15:34:04.913123
417,23,female,2,rent,,little,8471,18,education,418,2025-09-01 15:34:04.913123
418,31,female,3,own,quite rich,,2782,21,car,419,2025-09-01 15:34:04.913123
419,33,female,2,own,,moderate,1042,18,car,420,2025-09-01 15:34:04.913123
420,20,female,2,rent,rich,,3186,15,car,421,2025-09-01 15:34:04.913123
421,30,male,2,own,,moderate,2028,12,car,422,2025-09-01 15:34:04.913123
422,47,male,1,own,little,moderate,958,12,car,423,2025-09-01 15:34:04.913123
423,34,male,3,own,moderate,,1591,21,furniture/equipment,424,2025-09-01 15:34:04.913123
424,25,female,2,own,,moderate,2762,12,furniture/equipment,425,2025-09-01 15:34:04.913123
425,21,male,2,rent,little,moderate,2779,18,car,426,2025-09-01 15:34:04.913123
426,29,male,2,own,little,,2743,28,radio/TV,427,2025-09-01 15:34:04.913123
427,46,male,2,own,rich,,1149,18,radio/TV,428,2025-09-01 15:34:04.913123
428,20,male,2,own,little,,1313,9,furniture/equipment,429,2025-09-01 15:34:04.913123
429,55,female,0,free,little,little,1190,18,repairs,430,2025-09-01 15:34:04.913123
430,74,male,1,own,little,,3448,5,business,431,2025-09-01 15:34:04.913123
431,29,male,3,own,little,moderate,11328,24,vacation/others,432,2025-09-01 15:34:04.913123
432,36,male,3,free,little,little,1872,6,furniture/equipment,433,2025-09-01 15:34:04.913123
433,33,male,2,own,little,,2058,24,repairs,434,2025-09-01 15:34:04.913123
434,25,male,2,own,little,little,2136,9,furniture/equipment,435,2025-09-01 15:34:04.913123
435,25,male,2,own,,moderate,1484,12,radio/TV,436,2025-09-01 15:34:04.913123
436,23,male,1,rent,quite rich,,660,6,repairs,437,2025-09-01 15:34:04.913123
437,37,female,2,own,rich,,1287,24,car,438,2025-09-01 15:34:04.913123
438,65,male,0,own,little,little,3394,42,repairs,439,2025-09-01 15:34:04.913123
439,26,female,0,own,little,rich,609,12,business,440,2025-09-01 15:34:04.913123
440,39,male,3,own,little,,1884,12,car,441,2025-09-01 15:34:04.913123
441,30,female,2,own,little,little,1620,12,furniture/equipment,442,2025-09-01 15:34:04.913123
442,29,male,2,own,little,moderate,2629,20,vacation/others,443,2025-09-01 15:34:04.913123
443,41,male,1,own,little,,719,12,education,444,2025-09-01 15:34:04.913123
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,445,2025-09-01 15:34:04.913123
445,41,female,1,rent,,,1244,9,education,446,2025-09-01 15:34:04.913123
446,34,female,2,own,little,little,1842,36,car,447,2025-09-01 15:34:04.913123
447,35,male,2,own,little,moderate,2576,7,radio/TV,448,2025-09-01 15:34:04.913123
448,55,female,3,own,,rich,1424,12,furniture/equipment,449,2025-09-01 15:34:04.913123
449,61,male,2,own,rich,moderate,1512,15,repairs,450,2025-09-01 15:34:04.913123
450,30,male,3,own,,,11054,36,car,451,2025-09-01 15:34:04.913123
451,29,female,2,own,little,,518,6,radio/TV,452,2025-09-01 15:34:04.913123
452,34,male,2,own,little,,2759,12,furniture/equipment,453,2025-09-01 15:34:04.913123
453,35,male,3,own,little,,2670,24,car,454,2025-09-01 15:34:04.913123
454,31,male,2,own,little,little,4817,24,car,455,2025-09-01 15:34:04.913123
455,29,female,3,own,little,,2679,24,car,456,2025-09-01 15:34:04.913123
456,36,male,2,rent,little,little,3905,11,car,457,2025-09-01 15:34:04.913123
457,35,male,2,free,little,little,3386,12,car,458,2025-09-01 15:34:04.913123
458,27,female,2,own,little,little,343,6,domestic appliances,459,2025-09-01 15:34:04.913123
459,32,male,2,own,little,,4594,18,radio/TV,460,2025-09-01 15:34:04.913123
460,37,male,2,own,little,little,3620,36,furniture/equipment,461,2025-09-01 15:34:04.913123
461,36,male,2,own,little,little,1721,15,car,462,2025-09-01 15:34:04.913123
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,463,2025-09-01 15:34:04.913123
463,38,male,2,own,,moderate,754,12,education,464,2025-09-01 15:34:04.913123
464,34,male,2,own,little,,1950,18,business,465,2025-09-01 15:34:04.913123
465,63,male,2,own,little,little,2924,24,car,466,2025-09-01 15:34:04.913123
466,29,female,1,rent,little,little,1659,24,radio/TV,467,2025-09-01 15:34:04.913123
467,32,male,2,own,,,7238,48,radio/TV,468,2025-09-01 15:34:04.913123
468,26,female,2,own,little,,2764,33,business,469,2025-09-01 15:34:04.913123
469,35,male,1,own,little,,4679,24,car,470,2025-09-01 15:34:04.913123
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,471,2025-09-01 15:34:04.913123
471,23,female,2,own,little,little,448,6,education,472,2025-09-01 15:34:04.913123
472,28,male,1,own,little,little,654,9,car,473,2025-09-01 15:34:04.913123
473,36,male,3,own,,,1238,6,education,474,2025-09-01 15:34:04.913123
474,33,male,2,own,little,moderate,1245,18,radio/TV,475,2025-09-01 15:34:04.913123
475,26,female,2,rent,little,little,3114,18,furniture/equipment,476,2025-09-01 15:34:04.913123
476,24,male,2,own,quite rich,,2569,39,car,477,2025-09-01 15:34:04.913123
477,25,male,2,own,little,rich,5152,24,radio/TV,478,2025-09-01 15:34:04.913123
478,39,male,1,own,moderate,moderate,1037,12,business,479,2025-09-01 15:34:04.913123
479,44,male,2,own,little,little,1478,15,furniture/equipment,480,2025-09-01 15:34:04.913123
480,23,female,1,own,little,moderate,3573,12,radio/TV,481,2025-09-01 15:34:04.913123
481,26,male,2,own,little,moderate,1201,24,car,482,2025-09-01 15:34:04.913123
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,483,2025-09-01 15:34:04.913123
483,30,female,2,own,rich,,960,15,furniture/equipment,484,2025-09-01 15:34:04.913123
484,44,male,2,own,quite rich,,1163,12,car,485,2025-09-01 15:34:04.913123
485,47,male,3,own,little,moderate,1209,6,car,486,2025-09-01 15:34:04.913123
486,52,male,2,own,little,,3077,12,radio/TV,487,2025-09-01 15:34:04.913123
487,62,female,2,free,little,,3757,24,car,488,2025-09-01 15:34:04.913123
488,35,male,1,rent,moderate,,1418,10,car,489,2025-09-01 15:34:04.913123
489,26,male,2,rent,little,,3518,6,car,490,2025-09-01 15:34:04.913123
490,26,male,2,own,little,,1934,12,radio/TV,491,2025-09-01 15:34:04.913123
491,42,female,3,free,little,moderate,8318,27,business,492,2025-09-01 15:34:04.913123
492,27,female,2,own,moderate,,1237,6,radio/TV,493,2025-09-01 15:34:04.913123
493,38,male,2,own,,moderate,368,6,radio/TV,494,2025-09-01 15:34:04.913123
494,39,male,1,rent,little,little,2122,12,car,495,2025-09-01 15:34:04.913123
495,20,male,2,own,,little,2996,24,furniture/equipment,496,2025-09-01 15:34:04.913123
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,497,2025-09-01 15:34:04.913123
497,40,male,2,own,little,,1585,24,furniture/equipment,498,2025-09-01 15:34:04.913123
498,32,male,1,own,little,moderate,1301,18,radio/TV,499,2025-09-01 15:34:04.913123
499,28,male,2,own,moderate,rich,1323,6,car,500,2025-09-01 15:34:04.913123
500,27,female,2,own,little,little,3123,24,car,501,2025-09-01 15:34:04.913123
501,42,male,2,free,little,little,5493,36,car,502,2025-09-01 15:34:04.913123
502,49,male,2,own,moderate,rich,1126,9,radio/TV,503,2025-09-01 15:34:04.913123
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,504,2025-09-01 15:34:04.913123
504,24,female,2,rent,little,little,1207,24,car,505,2025-09-01 15:34:04.913123
505,27,male,1,own,,,1309,10,car,506,2025-09-01 15:34:04.913123
506,36,male,2,own,quite rich,rich,2360,15,car,507,2025-09-01 15:34:04.913123
507,34,male,3,own,moderate,moderate,6850,15,car,508,2025-09-01 15:34:04.913123
508,28,male,2,own,little,,1413,24,radio/TV,509,2025-09-01 15:34:04.913123
509,45,male,3,own,moderate,,8588,39,car,510,2025-09-01 15:34:04.913123
510,26,male,2,own,little,little,759,12,car,511,2025-09-01 15:34:04.913123
511,32,male,3,free,little,,4686,36,car,512,2025-09-01 15:34:04.913123
512,26,male,2,rent,little,rich,2687,15,business,513,2025-09-01 15:34:04.913123
513,20,male,2,rent,little,moderate,585,12,radio/TV,514,2025-09-01 15:34:04.913123
514,54,male,2,own,,,2255,24,car,515,2025-09-01 15:34:04.913123
515,37,female,2,own,little,little,609,6,car,516,2025-09-01 15:34:04.913123
516,40,male,1,own,little,little,1361,6,car,517,2025-09-01 15:34:04.913123
517,23,female,2,rent,little,,7127,36,furniture/equipment,518,2025-09-01 15:34:04.913123
518,43,male,2,own,moderate,little,1203,6,car,519,2025-09-01 15:34:04.913123
519,36,male,2,free,,,700,6,radio/TV,520,2025-09-01 15:34:04.913123
520,44,male,2,free,little,,5507,24,repairs,521,2025-09-01 15:34:04.913123
521,24,female,2,own,little,little,3190,18,radio/TV,522,2025-09-01 15:34:04.913123
522,53,male,2,free,little,little,7119,48,furniture/equipment,523,2025-09-01 15:34:04.913123
523,23,female,2,own,moderate,,3488,24,car,524,2025-09-01 15:34:04.913123
524,26,female,1,own,little,moderate,1113,18,radio/TV,525,2025-09-01 15:34:04.913123
525,30,male,2,own,little,moderate,7966,26,car,526,2025-09-01 15:34:04.913123
526,31,female,2,own,moderate,,1532,15,education,527,2025-09-01 15:34:04.913123
527,42,male,1,own,little,,1503,4,radio/TV,528,2025-09-01 15:34:04.913123
528,31,male,2,rent,little,little,2302,36,radio/TV,529,2025-09-01 15:34:04.913123
529,41,male,1,own,little,little,662,6,car,530,2025-09-01 15:34:04.913123
530,32,male,2,own,little,moderate,2273,36,education,531,2025-09-01 15:34:04.913123
531,28,female,2,rent,moderate,moderate,2631,15,car,532,2025-09-01 15:34:04.913123
532,41,male,2,rent,little,,1503,12,car,533,2025-09-01 15:34:04.913123
533,26,male,2,own,moderate,,1311,24,radio/TV,534,2025-09-01 15:34:04.913123
534,25,male,2,own,,,3105,24,radio/TV,535,2025-09-01 15:34:04.913123
535,33,male,2,rent,little,rich,2319,21,education,536,2025-09-01 15:34:04.913123
536,75,female,3,own,,little,1374,6,car,537,2025-09-01 15:34:04.913123
537,37,female,2,own,little,moderate,3612,18,furniture/equipment,538,2025-09-01 15:34:04.913123
538,42,male,3,free,little,little,7763,48,car,539,2025-09-01 15:34:04.913123
539,45,female,1,own,little,rich,3049,18,furniture/equipment,540,2025-09-01 15:34:04.913123
540,23,male,2,rent,little,moderate,1534,12,radio/TV,541,2025-09-01 15:34:04.913123
541,60,male,2,free,little,,2032,24,car,542,2025-09-01 15:34:04.913123
542,31,male,2,own,,little,6350,30,furniture/equipment,543,2025-09-01 15:34:04.913123
543,34,male,1,own,little,rich,2864,18,furniture/equipment,544,2025-09-01 15:34:04.913123
544,61,male,1,own,little,,1255,12,car,545,2025-09-01 15:34:04.913123
545,43,male,2,free,little,little,1333,24,car,546,2025-09-01 15:34:04.913123
546,37,female,2,own,little,,2022,24,car,547,2025-09-01 15:34:04.913123
547,32,male,2,own,little,,1552,24,radio/TV,548,2025-09-01 15:34:04.913123
548,24,female,1,own,little,little,626,12,radio/TV,549,2025-09-01 15:34:04.913123
549,35,male,2,free,,,8858,48,car,550,2025-09-01 15:34:04.913123
550,23,female,2,own,,,996,12,repairs,551,2025-09-01 15:34:04.913123
551,45,male,1,own,quite rich,,1750,6,radio/TV,552,2025-09-01 15:34:04.913123
552,34,male,2,own,little,little,6999,48,radio/TV,553,2025-09-01 15:34:04.913123
553,27,male,2,own,moderate,moderate,1995,12,car,554,2025-09-01 15:34:04.913123
554,67,female,3,own,little,moderate,1199,9,education,555,2025-09-01 15:34:04.913123
555,22,male,2,own,little,moderate,1331,12,radio/TV,556,2025-09-01 15:34:04.913123
556,28,female,2,own,moderate,moderate,2278,18,car,557,2025-09-01 15:34:04.913123
557,29,female,2,own,,,5003,21,car,558,2025-09-01 15:34:04.913123
558,27,male,2,own,little,little,3552,24,furniture/equipment,559,2025-09-01 15:34:04.913123
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,560,2025-09-01 15:34:04.913123
560,49,male,2,free,,little,2964,24,car,561,2025-09-01 15:34:04.913123
561,24,male,1,rent,little,little,1546,24,radio/TV,562,2025-09-01 15:34:04.913123
562,29,female,2,own,little,rich,683,6,radio/TV,563,2025-09-01 15:34:04.913123
563,37,male,2,free,,moderate,12389,36,car,564,2025-09-01 15:34:04.913123
564,37,male,3,own,,moderate,4712,24,business,565,2025-09-01 15:34:04.913123
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,566,2025-09-01 15:34:04.913123
566,36,male,2,own,little,little,1372,12,car,567,2025-09-01 15:34:04.913123
567,34,male,2,own,rich,,2578,24,radio/TV,568,2025-09-01 15:34:04.913123
568,41,male,2,own,,moderate,3979,48,radio/TV,569,2025-09-01 15:34:04.913123
569,31,female,2,own,little,little,6758,48,radio/TV,570,2025-09-01 15:34:04.913123
570,23,female,1,rent,little,little,3234,24,furniture/equipment,571,2025-09-01 15:34:04.913123
571,38,male,2,own,little,,5954,30,radio/TV,572,2025-09-01 15:34:04.913123
572,26,female,3,rent,,,5433,24,car,573,2025-09-01 15:34:04.913123
573,22,female,1,own,little,little,806,15,business,574,2025-09-01 15:34:04.913123
574,27,male,1,own,little,moderate,1082,9,radio/TV,575,2025-09-01 15:34:04.913123
575,24,female,2,own,little,,2788,15,furniture/equipment,576,2025-09-01 15:34:04.913123
576,27,female,2,own,little,moderate,2930,12,radio/TV,577,2025-09-01 15:34:04.913123
577,33,female,2,own,,,1927,24,education,578,2025-09-01 15:34:04.913123
578,27,male,2,own,little,moderate,2820,36,car,579,2025-09-01 15:34:04.913123
579,27,male,1,own,little,,937,24,education,580,2025-09-01 15:34:04.913123
580,30,male,2,own,little,moderate,1056,18,car,581,2025-09-01 15:34:04.913123
581,49,male,1,own,little,moderate,3124,12,car,582,2025-09-01 15:34:04.913123
582,26,female,2,rent,little,,1388,9,furniture/equipment,583,2025-09-01 15:34:04.913123
583,33,male,1,rent,little,moderate,2384,36,repairs,584,2025-09-01 15:34:04.913123
584,52,female,3,free,,,2133,12,car,585,2025-09-01 15:34:04.913123
585,20,female,2,rent,little,little,2039,18,furniture/equipment,586,2025-09-01 15:34:04.913123
586,36,male,2,rent,little,little,2799,9,car,587,2025-09-01 15:34:04.913123
587,21,male,1,own,little,little,1289,12,furniture/equipment,588,2025-09-01 15:34:04.913123
588,47,male,1,own,little,little,1217,18,domestic appliances,589,2025-09-01 15:34:04.913123
589,60,male,2,own,little,little,2246,12,furniture/equipment,590,2025-09-01 15:34:04.913123
590,58,female,1,own,little,little,385,12,radio/TV,591,2025-09-01 15:34:04.913123
591,42,female,2,rent,,moderate,1965,24,car,592,2025-09-01 15:34:04.913123
592,36,female,1,own,rich,,1572,21,business,593,2025-09-01 15:34:04.913123
593,20,female,1,rent,little,moderate,2718,24,car,594,2025-09-01 15:34:04.913123
594,40,male,3,own,,little,1358,24,vacation/others,595,2025-09-01 15:34:04.913123
595,32,female,1,own,moderate,moderate,931,6,car,596,2025-09-01 15:34:04.913123
596,23,female,2,rent,little,little,1442,24,car,597,2025-09-01 15:34:04.913123
597,36,male,1,own,little,moderate,4241,24,business,598,2025-09-01 15:34:04.913123
598,31,male,2,own,little,,2775,18,car,599,2025-09-01 15:34:04.913123
599,32,male,2,free,little,,3863,24,business,600,2025-09-01 15:34:04.913123
600,45,female,2,own,little,moderate,2329,7,radio/TV,601,2025-09-01 15:34:04.913123
601,30,female,2,own,little,moderate,918,9,furniture/equipment,602,2025-09-01 15:34:04.913123
602,34,female,1,free,little,moderate,1837,24,education,603,2025-09-01 15:34:04.913123
603,28,female,3,own,little,,3349,36,furniture/equipment,604,2025-09-01 15:34:04.913123
604,23,female,2,own,little,rich,1275,10,furniture/equipment,605,2025-09-01 15:34:04.913123
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,606,2025-09-01 15:34:04.913123
606,74,male,3,own,little,,4526,24,business,607,2025-09-01 15:34:04.913123
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,608,2025-09-01 15:34:04.913123
608,33,male,2,own,little,,2051,18,radio/TV,609,2025-09-01 15:34:04.913123
609,45,male,2,free,,,1300,15,car,610,2025-09-01 15:34:04.913123
610,22,female,2,own,moderate,little,741,12,domestic appliances,611,2025-09-01 15:34:04.913123
611,48,female,1,free,moderate,rich,1240,10,car,612,2025-09-01 15:34:04.913123
612,29,female,2,own,rich,little,3357,21,radio/TV,613,2025-09-01 15:34:04.913123
613,22,female,2,rent,little,little,3632,24,car,614,2025-09-01 15:34:04.913123
614,22,female,2,own,little,,1808,18,furniture/equipment,615,2025-09-01 15:34:04.913123
615,48,male,3,own,,moderate,12204,48,business,616,2025-09-01 15:34:04.913123
616,27,male,3,free,,moderate,9157,60,radio/TV,617,2025-09-01 15:34:04.913123
617,37,male,2,rent,little,little,3676,6,car,618,2025-09-01 15:34:04.913123
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,619,2025-09-01 15:34:04.913123
619,49,male,1,own,little,,640,12,car,620,2025-09-01 15:34:04.913123
620,27,male,2,own,little,moderate,3652,21,business,621,2025-09-01 15:34:04.913123
621,32,male,2,own,little,,1530,18,car,622,2025-09-01 15:34:04.913123
622,38,male,2,own,,,3914,48,business,623,2025-09-01 15:34:04.913123
623,22,female,2,rent,little,little,1858,12,furniture/equipment,624,2025-09-01 15:34:04.913123
624,65,male,2,free,little,little,2600,18,radio/TV,625,2025-09-01 15:34:04.913123
625,35,male,2,own,,,1979,15,radio/TV,626,2025-09-01 15:34:04.913123
626,41,male,2,own,little,rich,2116,6,furniture/equipment,627,2025-09-01 15:34:04.913123
627,29,male,2,own,moderate,moderate,1437,9,car,628,2025-09-01 15:34:04.913123
628,36,male,2,own,quite rich,,4042,42,furniture/equipment,629,2025-09-01 15:34:04.913123
629,64,male,1,own,,,3832,9,education,630,2025-09-01 15:34:04.913123
630,28,female,2,own,little,little,3660,24,radio/TV,631,2025-09-01 15:34:04.913123
631,44,male,2,own,little,little,1553,18,furniture/equipment,632,2025-09-01 15:34:04.913123
632,23,male,2,own,,moderate,1444,15,radio/TV,633,2025-09-01 15:34:04.913123
633,19,female,2,rent,little,,1980,9,furniture/equipment,634,2025-09-01 15:34:04.913123
634,25,female,1,own,little,moderate,1355,24,car,635,2025-09-01 15:34:04.913123
635,47,male,2,own,little,,1393,12,education,636,2025-09-01 15:34:04.913123
636,28,female,2,own,quite rich,,1376,24,radio/TV,637,2025-09-01 15:34:04.913123
637,21,male,2,own,little,,15653,60,radio/TV,638,2025-09-01 15:34:04.913123
638,34,female,2,own,little,,1493,12,radio/TV,639,2025-09-01 15:34:04.913123
639,26,male,2,own,little,little,4370,42,radio/TV,640,2025-09-01 15:34:04.913123
640,27,female,0,own,little,little,750,18,education,641,2025-09-01 15:34:04.913123
641,38,male,1,own,little,moderate,1308,15,repairs,642,2025-09-01 15:34:04.913123
642,40,male,3,own,moderate,,4623,15,education,643,2025-09-01 15:34:04.913123
643,33,male,2,own,little,,1851,24,radio/TV,644,2025-09-01 15:34:04.913123
644,32,male,3,own,little,little,1880,18,radio/TV,645,2025-09-01 15:34:04.913123
645,27,male,2,rent,,,7980,36,business,646,2025-09-01 15:34:04.913123
646,32,male,2,own,little,little,4583,30,furniture/equipment,647,2025-09-01 15:34:04.913123
647,26,female,2,own,quite rich,,1386,12,car,648,2025-09-01 15:34:04.913123
648,38,male,2,free,little,rich,947,24,car,649,2025-09-01 15:34:04.913123
649,40,male,1,rent,little,little,684,12,education,650,2025-09-01 15:34:04.913123
650,50,male,3,free,little,little,7476,48,education,651,2025-09-01 15:34:04.913123
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,652,2025-09-01 15:34:04.913123
652,45,male,2,own,little,little,2303,24,car,653,2025-09-01 15:34:04.913123
653,42,male,3,own,moderate,moderate,8086,36,car,654,2025-09-01 15:34:04.913123
654,35,male,2,own,little,,2346,24,car,655,2025-09-01 15:34:04.913123
655,22,male,2,free,little,little,3973,14,car,656,2025-09-01 15:34:04.913123
656,41,male,1,own,little,moderate,888,12,car,657,2025-09-01 15:34:04.913123
657,37,male,2,own,,,10222,48,radio/TV,658,2025-09-01 15:34:04.913123
658,28,female,2,own,little,moderate,4221,30,business,659,2025-09-01 15:34:04.913123
659,41,male,2,own,little,moderate,6361,18,furniture/equipment,660,2025-09-01 15:34:04.913123
660,23,male,2,rent,little,rich,1297,12,radio/TV,661,2025-09-01 15:34:04.913123
661,23,male,2,own,,little,900,12,car,662,2025-09-01 15:34:04.913123
